,preco,marca,status
2253,256,Distrito Federal,FAZER
2254,257,Distrito Federal,FAZER
2255,258,Distrito Federal,FAZER
2256,259,Distrito Federal,FAZER
2257,260,Distrito Federal,FAZER
2258,261,Distrito Federal,FAZER
2259,262,Distrito Federal,FAZER
2260,263,Distrito Federal,FAZER
2261,264,Distrito Federal,FAZER
2262,265,Distrito Federal,FAZER
2263,266,Distrito Federal,FAZER
2264,267,Distrito Federal,FAZER
2265,268,Distrito Federal,FAZER
2266,269,Distrito Federal,FAZER
2267,270,Distrito Federal,FAZER
2268,271,Distrito Federal,FAZER
2269,272,Distrito Federal,FAZER
2270,273,Distrito Federal,FAZER
2271,274,Distrito Federal,FAZER
2272,275,Distrito Federal,FAZER
2273,276,Distrito Federal,FAZER
2274,277,Distrito Federal,FAZER
2275,278,Distrito Federal,FAZER
2276,279,Distrito Federal,FAZER
2277,280,Distrito Federal,FAZER
2278,281,Distrito Federal,FAZER
2279,282,Distrito Federal,FAZER
2280,283,Distrito Federal,FAZER
2281,284,Distrito Federal,FAZER
2282,285,Distrito Federal,FAZER
2283,286,Distrito Federal,FAZER
2284,287,Distrito Federal,FAZER
2285,288,Distrito Federal,FAZER
2286,289,Distrito Federal,FAZER
2287,290,Distrito Federal,FAZER
2288,291,Distrito Federal,FAZER
2289,292,Distrito Federal,FAZER
2290,293,Distrito Federal,FAZER
2291,294,Distrito Federal,FAZER
2292,295,Distrito Federal,FAZER
2293,296,Distrito Federal,FAZER
2294,297,Distrito Federal,FAZER
2295,298,Distrito Federal,FAZER
2296,299,Distrito Federal,FAZER
2297,300,Distrito Federal,FAZER
2298,301,Distrito Federal,FAZER
2299,302,Distrito Federal,FAZER
2300,303,Distrito Federal,FAZER
2301,304,Distrito Federal,FAZER
2302,305,Distrito Federal,FAZER
2303,306,Distrito Federal,FAZER
2304,307,Distrito Federal,FAZER
2305,308,Distrito Federal,FAZER
2306,309,Distrito Federal,FAZER
2307,310,Distrito Federal,FAZER
2308,311,Distrito Federal,FAZER
2309,312,Distrito Federal,FAZER
2310,313,Distrito Federal,FAZER
2311,314,Distrito Federal,FAZER
2312,315,Distrito Federal,FAZER
2313,316,Distrito Federal,FAZER
2314,317,Distrito Federal,FAZER
2315,318,Distrito Federal,FAZER
2316,319,Distrito Federal,FAZER
2317,320,Distrito Federal,FAZER
2318,321,Distrito Federal,FAZER
2319,322,Distrito Federal,FAZER
2320,323,Distrito Federal,FAZER
2321,324,Distrito Federal,FAZER
2322,325,Distrito Federal,FAZER
2323,326,Distrito Federal,FAZER
2324,327,Distrito Federal,FAZER
2325,328,Distrito Federal,FAZER
2326,329,Distrito Federal,FAZER
2327,330,Distrito Federal,FAZER
2328,331,Distrito Federal,FAZER
2329,332,Distrito Federal,FAZER
2330,333,Distrito Federal,FAZER
2331,334,Distrito Federal,FAZER
2332,335,Distrito Federal,FAZER
2333,336,Distrito Federal,FAZER
2334,337,Distrito Federal,FAZER
2335,338,Distrito Federal,FAZER
