,preco,cidade,status
9757,767,Paraíba,FAZER
9758,768,Paraíba,FAZER
9759,769,Paraíba,FAZER
9760,770,Paraíba,FAZER
9761,771,Paraíba,FAZER
9762,772,Paraíba,FAZER
9763,773,Paraíba,FAZER
9764,774,Paraíba,FAZER
9765,775,Paraíba,FAZER
9766,776,Paraíba,FAZER
9767,777,Paraíba,FAZER
9768,778,Paraíba,FAZER
9769,779,Paraíba,FAZER
9770,780,Paraíba,FAZER
9771,781,Paraíba,FAZER
9772,782,Paraíba,FAZER
9773,783,Paraíba,FAZER
9774,784,Paraíba,FAZER
9775,785,Paraíba,FAZER
9776,786,Paraíba,FAZER
9777,787,Paraíba,FAZER
9778,788,Paraíba,FAZER
9779,789,Paraíba,FAZER
9780,790,Paraíba,FAZER
9781,791,Paraíba,FAZER
9782,792,Paraíba,FAZER
9783,793,Paraíba,FAZER
9784,794,Paraíba,FAZER
9785,795,Paraíba,FAZER
9786,796,Paraíba,FAZER
9787,797,Paraíba,FAZER
9788,798,Paraíba,FAZER
9789,799,Paraíba,FAZER
9790,800,Paraíba,FAZER
9791,801,Paraíba,FAZER
9792,802,Paraíba,FAZER
9793,803,Paraíba,FAZER
9794,804,Paraíba,FAZER
9795,805,Paraíba,FAZER
9796,806,Paraíba,FAZER
9797,807,Paraíba,FAZER
9798,808,Paraíba,FAZER
9799,809,Paraíba,FAZER
9800,810,Paraíba,FAZER
9801,811,Paraíba,FAZER
9802,812,Paraíba,FAZER
9803,813,Paraíba,FAZER
9804,814,Paraíba,FAZER
9805,815,Paraíba,FAZER
9806,816,Paraíba,FAZER
9807,817,Paraíba,FAZER
9808,818,Paraíba,FAZER
9809,819,Paraíba,FAZER
9810,820,Paraíba,FAZER
9811,821,Paraíba,FAZER
9812,822,Paraíba,FAZER
9813,823,Paraíba,FAZER
9814,824,Paraíba,FAZER
9815,825,Paraíba,FAZER
9816,826,Paraíba,FAZER
9817,827,Paraíba,FAZER
9818,828,Paraíba,FAZER
9819,829,Paraíba,FAZER
9820,830,Paraíba,FAZER
9821,831,Paraíba,FAZER
9822,832,Paraíba,FAZER
9823,833,Paraíba,FAZER
9824,834,Paraíba,FAZER
9825,835,Paraíba,FAZER
9826,836,Paraíba,FAZER
9827,837,Paraíba,FAZER
9828,838,Paraíba,FAZER
9829,839,Paraíba,FAZER
9830,840,Paraíba,FAZER
9831,841,Paraíba,FAZER
9832,842,Paraíba,FAZER
9833,843,Paraíba,FAZER
9834,844,Paraíba,FAZER
9835,845,Paraíba,FAZER
9836,846,Paraíba,FAZER
9837,847,Paraíba,FAZER
9838,848,Paraíba,FAZER
9839,849,Paraíba,FAZER
9840,850,Paraíba,FAZER
9841,851,Paraíba,FAZER
9842,852,Paraíba,FAZER
9843,853,Paraíba,FAZER
9844,854,Paraíba,FAZER
9845,855,Paraíba,FAZER
9846,856,Paraíba,FAZER
9847,857,Paraíba,FAZER
9848,858,Paraíba,FAZER
9849,859,Paraíba,FAZER
9850,860,Paraíba,FAZER
9851,861,Paraíba,FAZER
9852,862,Paraíba,FAZER
9853,863,Paraíba,FAZER
9854,864,Paraíba,FAZER
9855,865,Paraíba,FAZER
9856,866,Paraíba,FAZER
9857,867,Paraíba,FAZER
9858,868,Paraíba,FAZER
9859,869,Paraíba,FAZER
9860,870,Paraíba,FAZER
9861,871,Paraíba,FAZER
9862,872,Paraíba,FAZER
9863,873,Paraíba,FAZER
9864,874,Paraíba,FAZER
