Unnamed: 0,preco,cidade,status
3286,290,Espírito Santo,FAZER
3287,291,Espírito Santo,FAZER
3288,292,Espírito Santo,FAZER
3289,293,Espírito Santo,FAZER
3290,294,Espírito Santo,FAZER
3291,295,Espírito Santo,FAZER
3292,296,Espírito Santo,FAZER
3293,297,Espírito Santo,FAZER
3294,298,Espírito Santo,FAZER
3295,299,Espírito Santo,FAZER
3296,300,Espírito Santo,FAZER
3297,301,Espírito Santo,FAZER
3298,302,Espírito Santo,FAZER
3299,303,Espírito Santo,FAZER
3300,304,Espírito Santo,FAZER
3301,305,Espírito Santo,FAZER
3302,306,Espírito Santo,FAZER
3303,307,Espírito Santo,FAZER
3304,308,Espírito Santo,FAZER
3305,309,Espírito Santo,FAZER
3306,310,Espírito Santo,FAZER
3307,311,Espírito Santo,FAZER
3308,312,Espírito Santo,FAZER
3309,313,Espírito Santo,FAZER
3310,314,Espírito Santo,FAZER
3311,315,Espírito Santo,FAZER
3312,316,Espírito Santo,FAZER
3313,317,Espírito Santo,FAZER
3314,318,Espírito Santo,FAZER
3315,319,Espírito Santo,FAZER
3316,320,Espírito Santo,FAZER
3317,321,Espírito Santo,FAZER
3318,322,Espírito Santo,FAZER
3319,323,Espírito Santo,FAZER
3320,324,Espírito Santo,FAZER
3321,325,Espírito Santo,FAZER
3322,326,Espírito Santo,FAZER
3323,327,Espírito Santo,FAZER
3324,328,Espírito Santo,FAZER
3325,329,Espírito Santo,FAZER
3326,330,Espírito Santo,FAZER
3327,331,Espírito Santo,FAZER
3328,332,Espírito Santo,FAZER
3329,333,Espírito Santo,FAZER
3330,334,Espírito Santo,FAZER
3331,335,Espírito Santo,FAZER
3332,336,Espírito Santo,FAZER
3333,337,Espírito Santo,FAZER
3334,338,Espírito Santo,FAZER
3335,339,Espírito Santo,FAZER
3336,340,Espírito Santo,FAZER
3337,341,Espírito Santo,FAZER
3338,342,Espírito Santo,FAZER
3339,343,Espírito Santo,FAZER
3340,344,Espírito Santo,FAZER
3341,345,Espírito Santo,FAZER
3342,346,Espírito Santo,FAZER
3343,347,Espírito Santo,FAZER
3344,348,Espírito Santo,FAZER
3345,349,Espírito Santo,FAZER
3346,350,Espírito Santo,FAZER
3347,351,Espírito Santo,FAZER
3348,352,Espírito Santo,FAZER
3349,353,Espírito Santo,FAZER
3350,354,Espírito Santo,FAZER
3351,355,Espírito Santo,FAZER
3352,356,Espírito Santo,FAZER
3353,357,Espírito Santo,FAZER
3354,358,Espírito Santo,FAZER
3355,359,Espírito Santo,FAZER
3356,360,Espírito Santo,FAZER
3357,361,Espírito Santo,FAZER
3358,362,Espírito Santo,FAZER
3359,363,Espírito Santo,FAZER
3360,364,Espírito Santo,FAZER
3361,365,Espírito Santo,FAZER
3362,366,Espírito Santo,FAZER
3363,367,Espírito Santo,FAZER
3364,368,Espírito Santo,FAZER
3365,369,Espírito Santo,FAZER
3366,370,Espírito Santo,FAZER
3367,371,Espírito Santo,FAZER
3368,372,Espírito Santo,FAZER
3369,373,Espírito Santo,FAZER
3370,374,Espírito Santo,FAZER
3371,375,Espírito Santo,FAZER
3372,376,Espírito Santo,FAZER
3373,377,Espírito Santo,FAZER
3374,378,Espírito Santo,FAZER
3375,379,Espírito Santo,FAZER
3376,380,Espírito Santo,FAZER
3377,381,Espírito Santo,FAZER
3378,382,Espírito Santo,FAZER
3379,383,Espírito Santo,FAZER
3380,384,Espírito Santo,FAZER
3381,385,Espírito Santo,FAZER
3382,386,Espírito Santo,FAZER
3383,387,Espírito Santo,FAZER
3384,388,Espírito Santo,FAZER
3385,389,Espírito Santo,FAZER
3386,390,Espírito Santo,FAZER
3387,391,Espírito Santo,FAZER
3388,392,Espírito Santo,FAZER
3389,393,Espírito Santo,FAZER
3390,394,Espírito Santo,FAZER
3391,395,Espírito Santo,FAZER
