,titulo,preço,condição,qntd vendida,marca,linha,modelo,numero_peça,qntd_velas,url
10,Jogo 4 Velas Original Bosch Iridium Accord 2.0 2007 Até 2013,"R$239,49",Novo,1,Bosch,Não tem linha,Não tem modelo,0 242 240 675,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1199440934-jogo-4-velas-original-bosch-iridium-accord-20-2007-ate-2013-_JM#position=11&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
11,Jogo Velas Ignição Honda New Civic 1.8 2006 2007 2008 Ngk,R$240,Novo,2,NGK,Laser Iridium,Iridium,IZFR6K-11S,4,https://produto.mercadolivre.com.br/MLB-1727264230-jogo-velas-ignico-honda-new-civic-18-2006-2007-2008-ngk-_JM#position=12&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
12,Jogo Velas Honda Civic Vti 92 93 94 Ngk Iridium,"R$239,49",Novo,3,NGK,Iridium,Iridium,BKR6EIX-11,4,https://produto.mercadolivre.com.br/MLB-1214425093-jogo-velas-honda-civic-vti-92-93-94-ngk-iridium-_JM#position=13&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
13,Kit Jogo Cabo E Vela Pajero Tr4 2.0 16v Flex Desde 2009,"R$239,99",Novo,5,NGK,V-Power,RESISTIVA,BKR7E-11D + SCY01,10,https://produto.mercadolivre.com.br/MLB-1651405842-kit-jogo-cabo-e-vela-pajero-tr4-20-16v-flex-desde-2009-_JM#position=14&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
14,Vela Aquecedora Sprinter 310 E 312 Delphi Qualidade Top,R$239,Novo,1,Delphi,Não tem linha,Não tem modelo,DS008,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1750239344-vela-aquecedora-sprinter-310-e-312-delphi-qualidade-top-_JM#position=15&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
15,Jogo Velas Original Ford Ranger 2.5 Flex Duratec 2012 2013,"R$239,76",Novo,21,Originais,Não tem linha,Iridium,AYFS32YR,4,https://produto.mercadolivre.com.br/MLB-1363488262-jogo-velas-original-ford-ranger-25-flex-duratec-2012-2013-_JM#position=16&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
16,Kit 6 Velas De Ignição Gm Blazer S10 4.3 V6 De 1996 Até 2002,"R$239,99",Novo,6,E-Klass,Iridium,Comum,EVI516 / TR55GP,6,https://produto.mercadolivre.com.br/MLB-1689930703-kit-6-velas-de-ignico-gm-blazer-s10-43-v6-de-1996-ate-2002-_JM#position=17&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
17,Jogo De Velas Honda Fit 1.5 16v Iridium 2007 2008 Ngk Orig.,R$278,Novo,3,NGK,Iridium,IRIDIUM,ZFR6FIX-11,4,https://produto.mercadolivre.com.br/MLB-1899248231-jogo-de-velas-honda-fit-15-16v-iridium-2007-2008-ngk-orig-_JM#position=18&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
18,Jogo Vela Iridium Ngk I30 2.0 Gas 2009 Bkr5eix-11,"R$239,33",Novo,2,NGK,Iridium,IRIDIUM,BKR5EIX-11,4,https://produto.mercadolivre.com.br/MLB-1275622572-jogo-vela-iridium-ngk-i30-20-gas-2009-bkr5eix-11-_JM#position=19&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
19,Jogo Vela Aquecedora Tracker 2.0 Motor Mazda 1995 - 2001,R$239,Novo,17,Hescher,Não tem linha,Não tem modelo,VHC176,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1245421433-jogo-vela-aquecedora-tracker-20-motor-mazda-1995-2001-_JM#position=20&search_layout=stack&type=item&tracking_id=c5f18be4-429d-4eab-8902-c38bd8a7a1ba
